feature,tfidf_mean,tfidf_std
equipos trabajo,0.01988594454283866,0.04370401893064756
sociales,0.01986516886127561,0.05696976258283314
profesionales capaces,0.019653400740805054,0.07385110660633053
capacitado,0.019554202629076547,0.046495379677369365
metodologías,0.019438527675049482,0.045430384635370684
digital,0.019019459038235965,0.046645687137527765
ingeniero informática,0.01896163822304856,0.04663182015684829
negocios,0.01888555737077316,0.04613112087598424
digitales,0.018779539119005786,0.04391586247648067
problemas complejos,0.01874257543341712,0.04508018677030247
conocimiento,0.01871273038448819,0.05017603651698681
inglés,0.018658740550737758,0.0456902906404037
privadas,0.01863469919989466,0.05065021448949643
públicas privadas,0.01863469919989466,0.05065021448949643
distintas,0.018469342465510127,0.055337176329904064
productos,0.018463854185431016,0.04401270282757843
aplicando,0.01840487421827409,0.045146462723119285
personas,0.01830099079539668,0.03837358731164755
soluciones informáticas,0.01829081336239211,0.041886722144216515
sistemas computacionales,0.018284648032599684,0.0543660969396524
análisis,0.0182641262683281,0.04301292478803417
trabajar,0.018226319650311604,0.04480477385192131
sello,0.01819883793693222,0.0429771029556797
ejecución,0.018147345865067097,0.060993749352092404
entorno,0.01812453813709251,0.04092998662730049
permanente,0.018063386434465343,0.03966595940141562
gestión proyectos,0.017925177244871054,0.0439300652204099
informático,0.01786212904004142,0.04322976158317339
persona,0.01765510306019858,0.04871587024181925
desafíos,0.01760741642173412,0.0473840277449438
formación ciencias,0.017551770552259077,0.0472284704089282
propios,0.017465132284492743,0.0495693692514023
tecnología,0.01745206703383285,0.042801189210376706
base,0.017382607152646088,0.04186047187921156
éticos,0.017381169234752688,0.0466429219784113
técnicas,0.01731742601454763,0.04955585773000286
puede,0.017311163997366232,0.05134829113532142
diversidad,0.017266123393784187,0.04848420220828885
evaluación,0.01725369800480756,0.047988474735953746
identificar,0.017202050717609958,0.05361892975834759
católica,0.017186172826522652,0.04630192024542024
crítico,0.017179346263204474,0.042857139956130365
según,0.017020966155699105,0.04051515803326749
está,0.01686208133054428,0.053275265342797876
mediante,0.016831939699556344,0.04128680922631499
medio,0.016764714277731085,0.043135384112245975
telecomunicaciones,0.01668481357251465,0.05671786935292924
transformación digital,0.016535569911902432,0.03849022947675246
criterios,0.01650481472954571,0.049666404348688936
sostenible,0.016428514443811524,0.04000072991202884
bases,0.016350350514306024,0.03911054969614407
básicas ingeniería,0.016314761437682096,0.05084292998644407
común,0.016237670316523057,0.03855702164689808
diversos,0.01616568035692748,0.03852262456696105
global,0.016076728619563017,0.04145962353726434
liderar equipos,0.015934320545126328,0.04155711338818081
comunicarse,0.01583266266172933,0.043181766362165405
universidad católica,0.015812496951173545,0.041560820587439234
bases datos,0.015766478919139404,0.03989388947910921
equipo,0.015737159101749536,0.042195255961670834
ingenieros,0.015686006549627915,0.0504633124743773
idioma,0.01562855445242627,0.045985123618909614
planificar,0.015571961906459807,0.043805038993315636
campo,0.015555418354577702,0.04501647798868693
disciplina,0.015447629601616334,0.04211581935933156
pensamiento,0.015412826709399995,0.03924386792652245
aplicada,0.015282450479495625,0.036651125073610846
país,0.015277294891323937,0.04386766577320452
diseña,0.015110880695158405,0.05017414562713911
prácticas,0.01509117291462229,0.044497310317937376
plan,0.015049682429101834,0.05220972294930016
básicas ciencias,0.015020298688141132,0.03798278286854797
información comunicaciones,0.014900297816557585,0.04049390392533454
evolución,0.014741007505642134,0.038307501628119967
ciberseguridad,0.01464663675357877,0.06075968350950045
bien,0.014639613836593401,0.03703799716383024
diseñar desarrollar,0.01462851558059459,0.04259151448420219
tic,0.01452008692055575,0.04335565908173959
impacto,0.014519435188499965,0.04535979611877044
nuevas,0.014509606917349958,0.04091418468220189
especialidad,0.014409314074439662,0.04963582640959574
comunicación efectiva,0.014346357930294071,0.03664860815837848
malla,0.01426091550759922,0.0573439407577355
plataformas,0.014155323320779263,0.040588230933657925
ámbitos,0.014015612072898042,0.04144300543938364
junto,0.014014316159646573,0.04380257146234659
año,0.013988686904992529,0.05149469366819322
chile,0.013983615624922632,0.04470123036428304
2026,0.013935755977153285,0.056494408532370345
partir,0.013872127444221465,0.0429115088127261
ingeniera,0.013869596269378011,0.04497328150988102
idioma inglés,0.01385834822732516,0.04221352414805755
permitan,0.013850837223554378,0.03719264876617677
profesión,0.013811587841883848,0.039869118975016285
mantención,0.013766108453758372,0.043343233054895715
desempeño,0.013750488307930304,0.0332936063799652
autónoma,0.01373066806607341,0.04104320950414669
acuerdo,0.013674432913705412,0.04407625990930892
pensamiento crítico,0.01363169518353808,0.0398628769130548
admisión,0.013613036837800142,0.0570419905504448
distintos,0.013612801906030139,0.039157110939520935
respeto,0.01359102476319092,0.03972612714855634
sentido,0.013590762547847073,0.03549096532666009
calidad seguridad,0.01356501900860745,0.04827491849095707
relacionados,0.01355407095664229,0.046341949218429185
técnicos,0.013520344212230586,0.04039497581850424
humana,0.013463353626657258,0.04680172651253603
diversas,0.01341545517303297,0.04064321052255402
bien común,0.013415311343458575,0.03645857595857023
comprometido,0.013401525358342941,0.038509093669918185
eficiente,0.013377927309915176,0.04933100720203931
técnico,0.013358436591362965,0.04448403907519555
ingeniero ejecución,0.013234704018274968,0.04602174558475039
civil informático,0.013119610604963696,0.04126116028112232
laboral,0.013090761255700724,0.045767968925003115
alto,0.0130218678139043,0.041040716843687056
semestres,0.012909380820816217,0.04001757005534978
emprendimientos,0.012894001178320184,0.04049623865560668
basadas,0.01289069842381478,0.044316483406255686
contribuyendo,0.01284816949033713,0.03843462547008783
ambiental,0.012759653747140871,0.04119596149671148
constante,0.01274196489924624,0.037610124435117305
000,0.012702745261810545,0.059799313868674556
ello,0.012512726704271596,0.04505345095693066
responsable,0.012451257026481526,0.037014224119742783
concebir,0.012405927212815705,0.04319151989157795
evaluar gestionar,0.012391695323346382,0.04245279077181412
crear,0.012272308121272217,0.04022291611712847
estudiantes,0.012265112917327747,0.057347159300790124
contribuir,0.012236130378921545,0.039631826437437345
diversa,0.012217843102419353,0.042231463412263096
informático universidad,0.012211703858967575,0.03986072582414797
administrar,0.011984920162253096,0.0438341435686785
problemáticas,0.011887353283863115,0.03595990278729839
concepción,0.011875741015978781,0.04076631586502558
buenas,0.011866549718555967,0.04074568403098464
buenas prácticas,0.011866549718555967,0.04074568403098464
