feature,tfidf_mean,tfidf_std
emergentes,0.0163826080832398,0.04904715964012268
sólida,0.016321588762748414,0.04606912486263319
valor,0.016036191054831637,0.04059703968745826
aplicación,0.01600751492031075,0.04092445362103589
universidad católica,0.01600165726640276,0.0440192465933248
plan,0.015956587360375415,0.05074128793134516
objetivos,0.01589295274223016,0.047088246354749265
desafíos,0.015874353654762648,0.042317554979760884
campo,0.015793111439307304,0.057086197098757625
evaluar,0.01575755295283906,0.0418839350087889
transformación,0.015624411839864223,0.036283924660700476
ingenieros,0.015561055530981555,0.0534924463635448
capacitado,0.015425773148029651,0.04399376958221113
bases,0.01520420279606969,0.04027134909761905
bases datos,0.01520420279606969,0.04027134909761905
sentido,0.015177422433656235,0.04938733932494216
proyectos tecnológicos,0.015119765825204471,0.04510293120737435
diversa,0.01508917300290459,0.06135445965763695
evaluación,0.01507288080814406,0.044955961523848946
ámbitos,0.01502714004391408,0.043604515393925895
gestión proyectos,0.01500653320843041,0.04487839567362617
plataformas,0.014910675007623678,0.04295153021864244
permitan,0.014863423231144026,0.03726673443816584
sostenible,0.014829281912011444,0.03568861266801468
diversas,0.014779698870556263,0.040331797509409004
comunicación efectiva,0.014769181617627436,0.041138125085950814
alto,0.0147642574051491,0.04138337959653092
pensamiento,0.014698351843980969,0.03750613072544486
generación,0.01459298440409781,0.04028165643900377
según,0.014561628720548912,0.03741426813898551
información comunicaciones,0.01452064014241361,0.03853844778614866
cuenta,0.014515440121273102,0.040573193919734574
diseña,0.014499843922089703,0.0474408998973566
prácticas,0.014390490623984483,0.03927092164487278
ciberseguridad,0.014341500446171534,0.05880259110892766
contribuir,0.014264869388796444,0.039776061845431164
transformación digital,0.014210822006948808,0.03703580277789919
acuerdo,0.014156453507029303,0.04482684466463809
podrá,0.014119468893491423,0.04113623466538265
públicas privadas,0.014115018239512854,0.044775087222062006
públicas,0.014115018239512854,0.044775087222062006
pensamiento crítico,0.01407050286678472,0.03825851452015316
común,0.014065802483508753,0.03796765950285422
respetando,0.014055770368737334,0.0493402355678949
nivel,0.014021999755422149,0.041952435968001175
desenvolverse,0.01401655006401852,0.0452178342476654
comunicarse,0.013958994019207185,0.040292503148994165
autónoma,0.013939836866637485,0.04115449880130717
instituto,0.01385046479681717,0.04244818796733232
estudios,0.013801330737105334,0.04032160220264355
