fold_externo,condicion,feature,idf
1,Original,responsabilidad social,2.285198244248522
1,Original,responsable,2.904237452654745
1,Original,riesgos,3.0583881324820035
1,Original,rol,3.463853240590168
1,Original,santiago,3.0583881324820035
1,Original,sector,2.6529230243738393
1,Original,sector público,3.2407096892759584
1,Original,sede,3.463853240590168
1,Original,seguridad,2.2110902720948
1,Original,según,3.0583881324820035
1,Original,sello,2.904237452654745
1,Original,semestres,3.0583881324820035
1,Original,sentido,2.6529230243738393
1,Original,servicios,2.142097400607849
1,Original,siendo,2.904237452654745
1,Original,siendo capaz,3.0583881324820035
1,Original,sistemas,1.3844116989103321
1,Original,sistemas computacionales,3.0583881324820035
1,Original,sistemas información,2.285198244248522
1,Original,sistemas informáticos,2.3652409519220585
1,Original,social,1.672093771362113
1,Original,sociales,2.904237452654745
1,Original,sociedad,2.547562508716013
1,Original,software,1.4828517717235845
1,Original,soluciones,1.4828517717235845
1,Original,soluciones informáticas,2.7707060600302227
1,Original,soluciones innovadoras,3.0583881324820035
1,Original,soluciones tecnológicas,2.547562508716013
1,Original,sostenible,2.547562508716013
1,Original,superior,3.463853240590168
1,Original,sustentable,3.0583881324820035
1,Original,sólida,2.3652409519220585
1,Original,sólida formación,2.4522523289116878
1,Original,sólidos,3.0583881324820035
1,Original,tecnología,2.6529230243738393
1,Original,tecnologías,1.2666286632539485
1,Original,tecnologías información,1.5179430915348546
1,Original,tecnológica,2.285198244248522
1,Original,tecnológicas,2.2110902720948
1,Original,tecnológico,2.904237452654745
1,Original,tecnológicos,2.142097400607849
1,Original,telecomunicaciones,3.2407096892759584
1,Original,tic,2.6529230243738393
1,Original,toma,2.6529230243738393
1,Original,toma decisiones,2.6529230243738393
1,Original,trabajar,2.6529230243738393
1,Original,trabajo,1.6312717768418579
1,Original,trabajo equipo,2.904237452654745
1,Original,transformación,2.4522523289116878
1,Original,transformación digital,2.904237452654745
1,Original,través,2.142097400607849
1,Original,trayectoria,3.0583881324820035
1,Original,técnicas,2.7707060600302227
1,Original,técnico,3.463853240590168
1,Original,técnicos,2.904237452654745
1,Original,título,3.0583881324820035
1,Original,título profesional,3.2407096892759584
1,Original,universidad,1.5179430915348546
1,Original,universidad católica,2.904237452654745
1,Original,uso,2.3652409519220585
1,Original,utilizando,3.0583881324820035
1,Original,utilizando herramientas,3.463853240590168
1,Original,valor,2.3652409519220585
1,Original,vanguardia,3.463853240590168
1,Original,vida,2.904237452654745
1,Original,vigente,3.2407096892759584
1,Original,visión,2.547562508716013
1,Original,ámbito,2.3652409519220585
1,Original,ámbitos,3.0583881324820035
1,Original,área,2.547562508716013
1,Original,áreas,2.3652409519220585
1,Original,énfasis,3.463853240590168
1,Original,ética,2.142097400607849
1,Original,ético,2.6529230243738393
1,Original,éticos,2.7707060600302227
1,Solo_titulos,000,3.751535313041949
1,Solo_titulos,10,2.904237452654745
1,Solo_titulos,2026,3.463853240590168
1,Solo_titulos,25,3.751535313041949
1,Solo_titulos,académico,3.2407096892759584
1,Solo_titulos,acciones,3.2407096892759584
1,Solo_titulos,acreditación,3.751535313041949
1,Solo_titulos,actitud,3.0583881324820035
1,Solo_titulos,actualización,3.0583881324820035
1,Solo_titulos,adaptarse,2.904237452654745
1,Solo_titulos,además,2.0169342576538423
1,Solo_titulos,administrar,3.0583881324820035
1,Solo_titulos,admisión,3.463853240590168
1,Solo_titulos,alto,3.0583881324820035
1,Solo_titulos,ambiental,2.904237452654745
1,Solo_titulos,ambiente,3.0583881324820035
1,Solo_titulos,amplio,3.2407096892759584
1,Solo_titulos,analizar,2.547562508716013
1,Solo_titulos,analítica,3.2407096892759584
1,Solo_titulos,anual,3.751535313041949
1,Solo_titulos,análisis,2.6529230243738393
1,Solo_titulos,análisis datos,3.0583881324820035
1,Solo_titulos,aplica,3.2407096892759584
1,Solo_titulos,aplicaciones,2.904237452654745
1,Solo_titulos,aplicación,2.6529230243738393
1,Solo_titulos,aplicada,2.7707060600302227
1,Solo_titulos,aplicando,2.7707060600302227
1,Solo_titulos,aplicar,2.3652409519220585
1,Solo_titulos,aprendizaje,2.2110902720948
1,Solo_titulos,arancel,3.751535313041949
1,Solo_titulos,arancel anual,3.751535313041949
1,Solo_titulos,aranceles,3.751535313041949
1,Solo_titulos,artificial,2.285198244248522
1,Solo_titulos,as,3.463853240590168
1,Solo_titulos,asimismo,3.0583881324820035
1,Solo_titulos,asociados,3.0583881324820035
1,Solo_titulos,así,2.3652409519220585
1,Solo_titulos,autoaprendizaje,3.2407096892759584
1,Solo_titulos,año,3.0583881324820035
1,Solo_titulos,años,3.751535313041949
1,Solo_titulos,basadas,3.463853240590168
1,Solo_titulos,base,2.547562508716013
1,Solo_titulos,bases,2.904237452654745
1,Solo_titulos,bases datos,3.0583881324820035
1,Solo_titulos,bien,2.904237452654745
1,Solo_titulos,bien común,3.0583881324820035
1,Solo_titulos,buenas,3.463853240590168
1,Solo_titulos,buenas prácticas,3.463853240590168
1,Solo_titulos,básicas,2.0775588794702773
1,Solo_titulos,básicas ciencias,2.7707060600302227
1,Solo_titulos,básicas ingeniería,3.0583881324820035
1,Solo_titulos,calidad,2.0169342576538423
1,Solo_titulos,calidad seguridad,3.463853240590168
1,Solo_titulos,campo,2.904237452654745
1,Solo_titulos,campus,3.463853240590168
1,Solo_titulos,capaces,2.547562508716013
1,Solo_titulos,capacidad,1.714653385780909
1,Solo_titulos,capacidad trabajar,3.0583881324820035
1,Solo_titulos,capacidades,2.904237452654745
1,Solo_titulos,capacitado,2.7707060600302227
1,Solo_titulos,capaz,2.0169342576538423
1,Solo_titulos,capaz concebir,3.463853240590168
1,Solo_titulos,carrera,1.672093771362113
1,Solo_titulos,carrera universidad,2.7707060600302227
1,Solo_titulos,carreras,3.463853240590168
1,Solo_titulos,católica,2.904237452654745
1,Solo_titulos,ciberseguridad,3.2407096892759584
1,Solo_titulos,ciencia,2.6529230243738393
1,Solo_titulos,ciencia datos,3.0583881324820035
1,Solo_titulos,ciencias,1.672093771362113
1,Solo_titulos,ciencias básicas,2.0775588794702773
1,Solo_titulos,ciencias ingeniería,2.4522523289116878
1,Solo_titulos,civil,2.6529230243738393
1,Solo_titulos,civil computación,3.0583881324820035
1,Solo_titulos,competencias,1.9057086225436182
1,Solo_titulos,competencias genéricas,3.0583881324820035
1,Solo_titulos,complejos,2.4522523289116878
1,Solo_titulos,compromiso,2.285198244248522
1,Solo_titulos,compromiso ético,3.2407096892759584
1,Solo_titulos,computacionales,2.547562508716013
1,Solo_titulos,computación,2.0169342576538423
1,Solo_titulos,computación informática,2.3652409519220585
1,Solo_titulos,comunicaciones,2.547562508716013
1,Solo_titulos,comunicación,1.8056251639866356
1,Solo_titulos,comunicación efectiva,2.6529230243738393
1,Solo_titulos,comunicarse,2.904237452654745
1,Solo_titulos,común,2.7707060600302227
1,Solo_titulos,concebir,3.0583881324820035
1,Solo_titulos,concebir diseñar,3.2407096892759584
1,Solo_titulos,conocimiento,2.7707060600302227
1,Solo_titulos,conocimientos,1.6312717768418579
1,Solo_titulos,considerando,2.4522523289116878
1,Solo_titulos,constante,2.904237452654745
1,Solo_titulos,construir,3.0583881324820035
1,Solo_titulos,consultor,3.0583881324820035
1,Solo_titulos,contexto,2.285198244248522
1,Solo_titulos,contexto global,3.463853240590168
1,Solo_titulos,contextos,2.3652409519220585
1,Solo_titulos,continua,3.0583881324820035
1,Solo_titulos,continuo,3.0583881324820035
1,Solo_titulos,contribuir,3.0583881324820035
1,Solo_titulos,contribuyendo,3.0583881324820035
1,Solo_titulos,creación,3.2407096892759584
1,Solo_titulos,crear,3.0583881324820035
1,Solo_titulos,criterios,2.904237452654745
1,Solo_titulos,crítico,2.7707060600302227
1,Solo_titulos,cuenta,2.7707060600302227
1,Solo_titulos,curricular,3.463853240590168
1,Solo_titulos,datos,1.672093771362113
1,Solo_titulos,decisiones,2.285198244248522
1,Solo_titulos,desafíos,2.6529230243738393
1,Solo_titulos,desarrolla,2.904237452654745
1,Solo_titulos,desarrollar,1.959775843813894
1,Solo_titulos,desarrollar soluciones,3.0583881324820035
1,Solo_titulos,desarrollo,1.5543107357057295
1,Solo_titulos,desarrollo sostenible,3.0583881324820035
1,Solo_titulos,desempeñarse,2.3652409519220585
1,Solo_titulos,desempeño,2.6529230243738393
1,Solo_titulos,diferentes,3.2407096892759584
1,Solo_titulos,digital,2.904237452654745
1,Solo_titulos,digitales,2.7707060600302227
1,Solo_titulos,dirección,3.463853240590168
1,Solo_titulos,disciplina,2.6529230243738393
1,Solo_titulos,disciplinar,3.2407096892759584
1,Solo_titulos,diseñar,1.9057086225436182
1,Solo_titulos,diseñar desarrollar,3.0583881324820035
1,Solo_titulos,diseñar implementar,2.4522523289116878
1,Solo_titulos,diseño,2.3652409519220585
1,Solo_titulos,distintas,2.904237452654745
1,Solo_titulos,distintos,2.904237452654745
1,Solo_titulos,diversa,3.2407096892759584
1,Solo_titulos,diversas,2.904237452654745
1,Solo_titulos,diversidad,2.904237452654745
1,Solo_titulos,diversos,2.7707060600302227
1,Solo_titulos,docente,3.463853240590168
1,Solo_titulos,duración,3.0583881324820035
1,Solo_titulos,económico,3.0583881324820035
1,Solo_titulos,educación,3.2407096892759584
1,Solo_titulos,educación superior,3.751535313041949
1,Solo_titulos,efectiva,2.3652409519220585
1,Solo_titulos,eficiencia,2.547562508716013
1,Solo_titulos,eficiente,3.0583881324820035
1,Solo_titulos,eficientes,3.0583881324820035
1,Solo_titulos,egresado,2.547562508716013
