fold_externo,fold_interno,feature,idf
1,2,estudiantes,3.367123614131617
1,2,está,3.0794415416798357
1,2,estándares,2.6739764335716716
1,2,estándares calidad,3.367123614131617
1,2,evaluación,2.6739764335716716
1,2,evaluando,3.0794415416798357
1,2,evaluar,2.6739764335716716
1,2,evolución,2.6739764335716716
1,2,experiencia,3.0794415416798357
1,2,extraer,2.8562979903656265
1,2,fin,2.6739764335716716
1,2,forma,1.826678573184468
1,2,formación,1.6931471805599454
1,2,formación ciencias,3.0794415416798357
1,2,formar,2.8562979903656265
1,2,función,3.367123614131617
1,2,generación,2.6739764335716716
1,2,generando,2.8562979903656265
1,2,generar,2.6739764335716716
1,2,gestiona,3.367123614131617
1,2,gestionar,1.9007865453381898
1,2,gestionar desarrollar,2.8562979903656265
1,2,gestionar proyectos,2.8562979903656265
1,2,gestión,1.5753641449035618
1,2,gestión informática,2.8562979903656265
1,2,gestión proyectos,2.519825753744413
1,2,habilidades,2.163150809805681
1,2,haciendo,3.367123614131617
1,2,hardware,2.386294361119891
1,2,herramientas,2.163150809805681
1,2,identificar,2.8562979903656265
1,2,idioma,2.6739764335716716
1,2,idioma inglés,2.6739764335716716
1,2,impacto,2.8562979903656265
1,2,implementa,3.0794415416798357
1,2,implementación,2.519825753744413
1,2,implementando,3.0794415416798357
1,2,implementar,1.9808292530117262
1,2,implementar soluciones,2.8562979903656265
1,2,incorporando,2.8562979903656265
1,2,industria,2.8562979903656265
1,2,información,1.3302416868705769
1,2,información comunicaciones,2.519825753744413
1,2,información comunicación,2.6739764335716716
1,2,informática,1.4700036292457357
1,2,informática universidad,2.519825753744413
1,2,informáticas,2.6739764335716716
1,2,informáticos,1.7576857016975165
1,2,ingenieras,3.0794415416798357
1,2,ingeniero,1.6931471805599454
1,2,ingeniero civil,2.6739764335716716
1,2,ingenieros,3.0794415416798357
1,2,ingeniería,1.4700036292457357
1,2,ingeniería software,2.0678406300013563
1,2,inglés,2.386294361119891
1,2,innovación,1.826678573184468
1,2,innovación tecnológica,2.8562979903656265
1,2,innovadoras,2.386294361119891
1,2,instituciones,3.0794415416798357
1,2,instituto,3.367123614131617
1,2,instituto profesional,3.367123614131617
