fila_datos,grado,PCA_1,PCA_2,LDA_1,LDA_2,indice_fuente,universidad,carrera,url
16,Civil,-0.20209028846611035,-0.09049903254441358,-1.9783100873155313,-1.208952207364801,16,Universidad de Magallanes,Ingenieria Civil en Computacion e Informatica,https://admision.umag.cl/?page_id=27
17,Informática,-0.11509645328236115,-0.16270316492383255,2.559439113822463,-1.199385204297091,17,Universidad Tecnologica Metropolitana,Ingenieria en Informatica,https://conocetucarrera.utem.cl/ingenieria-en-informatica/
18,Civil,-0.22655138522066315,-0.13052279699919261,-1.974687490873217,0.9630103320485146,18,Universidad Tecnologica Metropolitana,Ingenieria Civil en Computacion mencion Informatica,https://conocetucarrera.utem.cl/ingenieria-civil-en-computacion-mencion-informatica/
19,Civil,-0.22640918826456477,0.05007923951031577,-2.549235763493477,0.9459688410226775,19,Universidad de Ohiggins,Ingenieria Civil en Computacion,https://www.uoh.cl/escuela-de-ingenieria/carreras/ingenieria-civil-en-computacion/
20,Informática,0.006356328003857496,0.04651685445475088,2.469631087766059,0.13918809455916864,20,Universidad de Bernardo Ohiggins,Ingenieria Informatica,https://www.ubo.cl/facultades/facultad-de-ingenieria-ciencia-y-tecnologia/ingenieria-en-informatica/
21,Civil,0.0384025750469322,0.009021740660921974,-1.8041285579534145,-0.8389691945152445,21,Universidad de Aysen,Ingenieria Civil Informatica,https://uaysen.cl/departamentos/ciencias-naturales-y-tecnologia/ingenieria-civil-informatica/
22,Informática,0.025715293823798387,-0.09151554270737934,1.9338770735907223,-0.004584075856721187,22,Pontificia Universidad Catolica de Valparaiso,Ingenieria en Informatica,https://www.pucv.cl/pucv/pregrado/ingenieria-en-informatica
23,Civil,0.01104942618607935,0.03664700734371501,-1.8885539670381548,0.17927027705722914,23,Universidad de Concepcion,Ingenieria Civil Informatica,https://admision.udec.cl/ingenieria-civil-informatica/
24,Civil,0.028127609969500218,-0.1319753768814811,-2.168339082893713,-0.4319991591896218,24,Universidad Tecnica Federico Santa Maria,Ingenieria Civil Informatica,https://usm.cl/admision/carreras/ingenieria-civil-informatica/
25,Informática,0.04093008681757934,0.12903797362791053,2.420228637890071,0.922207274376465,25,Universidad Tecnica Federico Santa Maria,Ingenieria Informatica,https://usm.cl/admision/carreras/ingenieria-en-informatica/
