Fold,feature,idf
2,interdisciplinarios,3.2617630984737906
2,investigación,3.0794415416798357
2,laboral,3.0794415416798357
2,lenguajes,3.2617630984737906
2,lenguajes programación,3.2617630984737906
2,liderando,3.772588722239781
2,liderar,2.386294361119891
2,liderar equipos,2.791759469228055
2,liderazgo,2.6739764335716716
2,malla,3.2617630984737906
2,manejo,3.2617630984737906
2,manera,2.386294361119891
2,mantención,3.2617630984737906
2,marcos,3.772588722239781
2,mediante,2.6739764335716716
2,medio,2.9252908618525773
2,mejora,2.6739764335716716
2,metodologías,2.6739764335716716
2,metropolitana,3.4849066497880004
2,multidisciplinarios,2.037987666851675
2,mundo,2.5686159179138452
2,nacional,2.9252908618525773
2,necesidades,2.09861228866811
2,negocios,2.791759469228055
2,nivel,2.386294361119891
2,nivel superior,3.4849066497880004
2,niveles,3.2617630984737906
2,normativa,3.772588722239781
2,nuevas,2.9252908618525773
2,nuevas tecnologías,3.2617630984737906
2,nuevos,3.2617630984737906
2,objetivos,2.9252908618525773
2,oportunidades,3.0794415416798357
2,organizacionales,2.47330573810952
2,organizaciones,1.9267620317414504
2,organización,2.386294361119891
2,partir,3.0794415416798357
2,país,3.0794415416798357
2,pensamiento,2.791759469228055
2,pensamiento crítico,2.9252908618525773
2,perfil,2.037987666851675
2,perfil egreso,2.386294361119891
2,permanente,2.6739764335716716
2,permitan,3.0794415416798357
2,permite,1.9808292530117262
2,permitirá,3.2617630984737906
2,persona,2.791759469228055
2,personas,2.791759469228055
2,planificación,3.2617630984737906
2,planificar,2.9252908618525773
2,plataformas,3.0794415416798357
2,podrá,3.0794415416798357
2,posee,2.2321436812926323
2,presencial,3.4849066497880004
2,principios,2.5686159179138452
2,privadas,2.9252908618525773
2,problemas,1.6523251860396901
2,problemas complejos,2.5686159179138452
2,problemáticas,3.2617630984737906
2,procesos,1.8754687373538999
2,productivo,3.4849066497880004
2,productos,2.6739764335716716
2,profesional,1.3158529494184772
2,profesional ingeniero,3.2617630984737906
2,profesional podrá,3.4849066497880004
2,profesionales,1.9267620317414504
2,profesionales capaces,3.0794415416798357
2,profesión,3.0794415416798357
2,programa,2.6739764335716716
2,programación,2.9252908618525773
2,promoción,3.2617630984737906
2,promoción bien,3.4849066497880004
2,promueve,3.4849066497880004
2,propios,2.9252908618525773
2,propuestas,3.2617630984737906
2,proyectos,1.3448404862917296
2,proyectos informáticos,2.386294361119891
2,proyectos software,3.2617630984737906
2,proyectos tecnologías,3.2617630984737906
2,proyectos tecnológicos,3.2617630984737906
2,prácticas,3.2617630984737906
2,prácticas industria,3.4849066497880004
2,puede,2.9252908618525773
2,puede desempeñarse,3.4849066497880004
2,públicas,2.9252908618525773
2,públicas privadas,2.9252908618525773
2,público,3.2617630984737906
2,públicos,3.0794415416798357
2,quehacer,3.2617630984737906
2,realizar,3.2617630984737906
2,reconoce,3.4849066497880004
2,recursos,2.386294361119891
2,redes,2.5686159179138452
2,región,3.4849066497880004
2,relacionadas,3.2617630984737906
2,requerimientos,2.9252908618525773
2,requerimientos cliente,3.772588722239781
2,requieren,3.2617630984737906
2,resolución,3.0794415416798357
2,resolución problemas,3.0794415416798357
2,resolver,1.8754687373538999
2,resolver problemas,2.037987666851675
2,respeto,3.0794415416798357
2,responsabilidad,2.2321436812926323
2,responsabilidad social,2.47330573810952
2,responsable,3.0794415416798357
2,riesgos,3.0794415416798357
2,santiago,3.0794415416798357
2,sector,2.791759469228055
2,sede,3.2617630984737906
2,seguridad,2.163150809805681
2,seguridad información,2.791759469228055
2,según,2.6739764335716716
2,sello,2.6739764335716716
2,semestres,3.0794415416798357
2,sentido,3.0794415416798357
2,servicios,2.3062516534463544
2,sistemas,1.4054651081081644
2,sistemas computacionales,2.9252908618525773
2,sistemas información,2.47330573810952
